seq	speed	IR	k	alpha	pathloss	dist	WA	etc
0	70	20	1	0.1	145.972	7951.17	9.25451	1
1	70	20	1	0.1	145.945	7926.73	9.23168	1
2	70	20	1	0.1	145.913	7897.95	9.20481	1
3	70	20	1	0.1	145.879	7866.95	9.17586	1
4	70	20	1	0.1	145.84	7831.73	9.14297	1
5	70	20	1	0.1	145.796	7791.82	9.10571	1
6	70	20	1	0.1	145.746	7747.07	9.06392	1
7	70	20	1	0.1	145.69	7697.4	9.01755	1
8	70	20	1	0.1	145.628	7642.79	8.96657	1
9	70	20	1	0.1	145.56	7583.21	8.91096	1
10	70	20	1	0.1	145.489	7521.59	8.85344	1
11	70	20	1	0.1	145.418	7459.98	8.79594	1
12	70	20	1	0.1	145.346	7398.38	8.73845	1
13	70	20	1	0.1	145.273	7336.79	8.68097	1
14	70	20	1	0.1	145.2	7275.2	8.6235	1
15	70	20	1	0.1	145.126	7213.62	8.56604	1
16	70	20	1	0.1	145.052	7152.05	8.50859	1
17	70	20	1	0.1	144.977	7090.48	8.45115	1
18	70	20	1	0.1	144.901	7028.92	8.39371	1
19	70	20	1	0.1	144.824	6967.36	8.33628	1
20	70	20	1	0.1	144.747	6905.81	8.27886	1
21	70	20	1	0.1	144.67	6844.26	8.22144	1
22	70	20	1	0.1	144.591	6782.71	8.16402	1
23	70	20	1	0.1	144.512	6721.17	8.10661	1
24	70	20	1	0.1	144.432	6659.63	8.0492	1
25	70	20	1	0.1	144.351	6598.09	7.99179	1
26	70	20	1	0.1	144.27	6536.55	7.93438	1
27	70	20	1	0.1	144.188	6475.02	7.87697	1
28	70	20	1	0.1	144.105	6413.48	7.81956	1
29	70	20	1	0.1	144.021	6351.95	7.76215	1
30	70	20	1	0.1	143.937	6290.42	7.70474	1
31	70	20	1	0.1	143.851	6228.89	7.64732	1
32	70	20	1	0.1	143.765	6167.37	7.5899	1
33	70	20	1	0.1	143.678	6105.84	7.53248	1
34	70	20	1	0.1	143.59	6044.31	7.47504	1
35	70	20	1	0.1	143.501	5982.79	7.4176	1
36	70	20	1	0.1	143.411	5921.26	7.36016	1
37	70	20	1	0.1	143.321	5859.74	7.3027	1
38	70	20	1	0.1	143.229	5798.22	7.24523	1
39	70	20	1	0.1	143.136	5736.7	7.18776	1
40	70	20	1	0.1	143.043	5675.17	7.13027	1
41	70	20	1	0.1	142.948	5613.65	7.07276	1
42	70	20	1	0.1	142.852	5552.13	7.01524	1
43	70	20	1	0.1	142.755	5490.61	6.95771	1
44	70	20	1	0.1	142.658	5429.09	6.90016	1
45	70	20	1	0.1	142.559	5367.57	6.84258	1
46	70	20	1	0.1	142.458	5306.05	6.78499	1
47	70	20	1	0.1	142.357	5244.53	6.72738	1
48	70	20	1	0.1	142.255	5183.01	6.66974	1
49	70	20	1	0.1	142.151	5121.5	6.61208	1
50	70	20	1	0.1	142.046	5059.98	6.55438	1
51	70	20	1	0.1	141.94	4998.46	6.49666	1
52	70	20	1	0.1	141.832	4936.94	6.43891	1
53	70	20	1	0.1	141.723	4875.42	6.38113	1
54	70	20	1	0.1	141.613	4813.9	6.32331	1
55	70	20	1	0.1	141.501	4752.39	6.26546	1
56	70	20	1	0.1	141.388	4690.87	6.20756	1
57	70	20	1	0.1	141.273	4629.35	6.14963	1
58	70	20	1	0.1	141.157	4567.83	6.09165	1
59	70	20	1	0.1	141.039	4506.32	6.03362	1
60	70	20	1	0.1	140.92	4444.8	5.97554	1
61	70	20	1	0.1	140.799	4383.28	5.91741	1
62	70	20	1	0.1	140.676	4321.76	5.85923	1
63	70	20	1	0.1	140.552	4260.25	5.80099	1
64	70	20	1	0.1	140.425	4198.73	5.74268	1
65	70	20	1	0.1	140.297	4137.21	5.68432	1
66	70	20	1	0.1	140.167	4075.7	5.62588	1
67	70	20	1	0.1	140.035	4014.18	5.56737	1
68	70	20	1	0.1	139.901	3952.66	5.50879	1
69	70	20	1	0.1	139.765	3891.15	5.45012	1
70	70	20	1	0.1	139.626	3829.63	5.39137	1
71	70	20	1	0.1	139.486	3768.12	5.33254	1
72	70	20	1	0.1	139.343	3706.6	5.27361	1
73	70	20	1	0.1	139.197	3645.08	5.21458	1
74	70	20	1	0.1	139.049	3583.57	5.15545	1
75	70	20	1	0.1	138.899	3522.05	5.09621	1
76	70	20	1	0.1	138.746	3460.54	5.03686	1
77	70	20	1	0.1	138.59	3399.02	4.97739	1
78	70	20	1	0.1	138.431	3337.5	4.91779	1
79	70	20	1	0.1	138.27	3275.99	4.85806	1
80	70	20	1	0.1	138.105	3214.47	4.79819	1
81	70	20	1	0.1	137.937	3152.96	4.73817	1
82	70	20	1	0.1	137.766	3091.44	4.678	1
83	70	20	1	0.1	137.592	3029.93	4.61766	1
84	70	20	1	0.1	137.414	2968.41	4.55716	1
85	70	20	1	0.1	137.232	2906.9	4.49647	1
86	70	20	1	0.1	137.046	2845.38	4.43559	1
87	70	20	1	0.1	136.856	2783.87	4.37452	1
88	70	20	1	0.1	136.662	2722.36	4.31323	1
89	70	20	1	0.1	136.463	2660.84	4.25172	1
90	70	20	1	0.1	136.26	2599.33	4.18998	1
91	70	20	1	0.1	136.052	2537.81	4.12798	1
92	70	20	1	0.1	135.839	2476.3	4.06573	1
93	70	20	1	0.1	135.621	2414.79	4.0032	1
94	70	20	1	0.1	135.396	2353.27	3.94038	1
95	70	20	1	0.1	135.166	2291.76	3.87725	1
96	70	20	1	0.1	134.93	2230.25	3.81379	1
97	70	20	1	0.1	134.687	2168.74	3.74998	1
98	70	20	1	0.1	134.437	2107.23	3.68581	1
99	70	20	1	0.1	134.18	2045.72	3.62124	1
100	70	20	1	0.1	133.915	1984.2	3.55626	1
101	70	20	1	0.1	133.641	1922.69	3.49083	1
102	70	20	1	0.1	133.359	1861.18	3.42494	1
103	70	20	1	0.1	133.067	1799.68	3.35854	1
104	70	20	1	0.1	132.765	1738.17	3.2916	1
105	70	20	1	0.1	132.452	1676.66	3.22409	1
106	70	20	1	0.1	132.127	1615.15	3.15596	1
107	70	20	1	0.1	131.79	1553.65	3.08717	1
108	70	20	1	0.1	131.439	1492.14	3.01767	1
109	70	20	1	0.1	131.074	1430.64	2.9474	1
110	70	20	1	0.1	130.692	1369.14	2.8763	1
111	70	20	1	0.1	130.293	1307.63	2.80429	1
112	70	20	1	0.1	129.874	1246.13	2.73131	1
113	70	20	1	0.1	129.435	1184.64	2.65726	1
114	70	20	1	0.1	128.972	1123.14	2.58204	1
115	70	20	1	0.1	128.483	1061.65	2.50553	1
116	70	20	1	0.1	127.964	1000.16	2.4276	1
117	70	20	1	0.1	127.413	938.675	2.34809	1
118	70	20	1	0.1	126.825	877.194	2.26683	1
119	70	20	1	0.1	126.194	815.719	2.18359	1
120	70	20	1	0.1	125.513	754.251	2.09811	1
121	70	20	1	0.1	124.775	692.792	2.01008	1
122	70	20	1	0.1	123.968	631.344	1.91911	1
123	70	20	1	0.1	123.079	569.911	1.82469	1
124	70	20	1	0.1	122.089	508.499	1.71527	1
125	70	20	1	0.1	120.971	447.117	1.50822	1
126	70	20	1	0.1	119.69	385.777	1.30131	1
127	70	20	1	0.1	118.187	324.505	1.09462	1
128	70	20	1	0.1	116.374	263.348	0.888329	1
129	70	20	1	0.1	114.088	202.411	0.682773	1
130	70	20	1	0.1	111.007	141.974	0.478909	1
131	70	20	1	0.1	106.359	83.1406	0.28045	1
132	70	20	1	0.1	98.8867	35.171	0.118639	1
133	70	20	1	0.1	102.919	55.952	0.188738	1
134	70	20	1	0.1	108.964	112.22	0.37854	1
135	70	20	1	0.1	112.68	172.119	0.580592	1
136	70	20	1	0.1	115.305	232.864	0.785497	1
137	70	20	1	0.1	117.328	293.93	0.991488	1
138	70	20	1	0.1	118.971	355.153	1.198	1
139	70	20	1	0.1	120.355	416.463	1.40481	1
140	70	20	1	0.1	121.548	477.826	1.61181	1
141	70	20	1	0.1	122.598	539.225	1.77604	1
142	70	20	1	0.1	123.535	600.648	1.8724	1
143	70	20	1	0.1	124.381	662.089	1.96502	1
