time,pathloss,dis,att,abc
0,140.127,2956.84,0,1
1,136.817,2935.17,0,1
2,137.416,2909.17,0,1
3,133.227,2880.95,0,1
4,134.775,2848.51,0,1
5,141.53,2811.38,0,1
6,137.907,2769.4,0,1
7,140.022,2722.52,0,1
8,132.262,2670.69,0,1
9,134.088,2613.9,0,1
10,133.451,2555.06,0,1
11,134.805,2496.23,0,1
12,136.197,2437.41,0,1
13,138.192,2378.6,0,1
14,134.105,2319.79,0,1
15,133.459,2261,0,1
16,138.086,2202.21,0,1
17,134.46,2143.42,0,1
18,136.437,2084.65,0,1
19,133.004,2025.87,0,1
20,134.375,1967.1,0,1
21,140.277,1908.34,0,1
22,139.866,1849.58,0,1
23,135.187,1790.82,0,1
24,134.07,1732.06,0,1
25,133.048,1673.31,0,1
26,132.943,1614.56,0,1
27,132.289,1555.82,0,1
28,131.718,1497.07,0,1
29,129.755,1438.33,0,1
30,129.92,1379.59,0,1
31,125.925,1320.86,0,1
32,135.213,1262.13,0,1
33,135.409,1203.4,0,1
34,128.55,1144.67,0,1
35,136.327,1085.94,0,1
36,131.454,1027.22,0,1
37,132.349,968.506,0,1
38,125.766,909.793,0,1
39,125.935,851.086,0,1
40,128.727,792.385,0,1
41,123.972,733.691,0,1
42,123.788,675.006,0,1
43,127.055,616.333,0,1
44,122.125,557.675,0,1
45,119.497,499.038,0,1
46,121.444,440.429,0,1
47,120.489,381.862,0,1
48,114.216,323.358,0,1
49,112.52,264.96,0,1
50,114.178,206.757,0,1
51,115.197,148.978,0,1
52,110.791,92.4219,0,1
53,100.423,42.3116,0,1
54,101.334,44.044,0,1
55,111.941,94.8187,0,1
56,114.478,151.467,0,1
57,117.439,209.273,0,1
58,115.976,267.486,0,1
59,120.655,325.889,0,1
60,124.684,384.395,0,1
61,121.996,442.963,0,1
62,120.171,501.572,0,1
63,120.492,560.208,0,1
64,119.576,618.864,0,1
65,122.656,677.534,0,1
66,120.527,736.216,0,1
67,127.814,794.907,0,1
68,126.577,853.604,0,1
69,127.015,912.307,0,1
70,125.308,971.014,0,1
71,129.848,1029.73,0,1
72,130.495,1088.44,0,1
73,133.563,1147.16,0,1
74,133.487,1205.88,0,1
